id,text,class,sentiment,label
159,"I also have the same experience with Hasni. The doctor just ask me what kind of illness do I have, take my temperature, and that was all!!! I ask for an MC because of my fever, the fever was last night.. I went to their clinic after my fever cooling down since I need to walk to reach the place (can reach it by wakking), and you know after getting fever you will feel your foot not really touching the ground like flying.. the doctor refused because I don't have a fever, well I explained the fever already went down before I came. He only gave medicine for pain killer .. What the heck was that..",,,1Negative#Staff#Treatment
160,Came in seeking UTI treatment. Had a consultation with a doctor who spoke English well. Had urinalysis done and antibiotics dispensed all in less than an hour. Reasonable cost. Satisfied.,,,1Positive#Staff#Treatment
161,"Despite the bad reviews I came here anyway as it's weekend and most clinics were closed by the time I got off work. I guess if you're truly not feeling well then you'd be eligible for MC.
4 stars because they wrote different diagnosis than what I've been told.",,,1Positive#Treatment
162,"Had to wait near to an hour for consultation. When asked the staff, she mentioned that every patient will be consulted for 15-20 minutes, which was not the case. Also, information like that should have been notified earlier to patients in case they need immediate consultation.
Too many staff at registration and dispensary but only 1 doctor. Would have preferred to have at least 2 doctors on standby as NuSentral is a very popular location and will expect high number of walk-ins.",,,1Negative#Appointments#Staff#Treatment
163,Terrible experience with this clinic. Worst ever in my life. DONT VISIT. Bad attitude doctor. Less of emphaty. Unprofessional doctor that every words she speak like she want to find a fight with you.,,,1Negative#Staff
164,UNSPEAKABLE experience for this clinic. CONTUMELIOUS  doctor ZHURAH BINTI MUSA. I think doctor ZHURAH BINTI MUSA is a DEROGATORY person.  I understand how busy doctors can be and I always appreciate their work and their dedication to save lives but a very MALAPERT doctor? No RESPECT at all. No SENSITIVITY towards patient.,,,1Negative#Staff
165,"I just went there after having about of food poisoning. The doctor dismissed my case completely just because I did not have a fever while he was taking my temperature. So I guess he would rather me suffer through the whole night without having taken panadol? An hour after seeing him my diarrhea continued. A case of complete mis-diagnosis.
This prompted me to go to the Klinik Mediviron which was relatively near, and had a much better doctor.
Do not make the same mistake I did, please avoid Poliklinik Nu Sentral.",,,1Negative#Staff#Treatment
166,"Doc’s break time is 2 to 3pm, all of us waited until 3.30pm only he came back from lunch break.. we are not feeling well already yet need to wait for so long, irresponsible doctor..never even apologized..I went today 16th of august 2020, even if you can’t check my attendance, you can check what time the doctor came back from lunch break thanks.",,,1Negative#Appointments#Staff
167,"They have a friendly staff, and the waiting time is quite reasonable. I think lot's of people confused with Poliklinik Nu Sentral because of the similarity in the name.
It's located beside Air Asia near the main entrance of KL sentral.
Hope this review will help others before they make a bad review.",,,1Positive#Staff
168,"Worst of the worst, the doctor just ask me what kind of illness do I have, take my temperature, and that all!!! I ask for an MC because of my severe flu, the doctor refused  because I don't have a fever, then suddenly gave me medicine for fever???",,,1Negative#Staff#Treatment
169,"Unfriendy and bad behavior staff and doctor EZZAD!! And expensive for consult, see doctor just 2 mins but they charge for RM78. Really worst clinic. USELESS CLINIC EVER!! NOT RECOMMENDED!!!",,,1Negative#Staff#Treatment
170,terrible. multiple appointments but cough persists. needed mc to rest but doctor said to come on the next day for another one. asking for more consultancy fee?,,,1Negative#Appointments#Staff#Treatment
171,"I went to visit for fever, what I got is some strepsils kind of candy, a bottle of mouth wash. Some panadol. Total cost me rm80+.",,,1Negative#Staff#Treatment
172,Very Good doctors here. Always explain in details for any diagnosis. Also explain the pros and cons of any medication before prescribing.,,,1Positive#Staff#Treatment
173,"The Dr need to have more commen sense, been strict it not a Dr...probe further and ask the cause of that happen is a Dr... So that they know how to consult and settle the problem even though its not your expertise on it...please be human not only a Dr",,,1Negative#Staff
174,Very efficient service. Got my blood test results within a day! Thank you Dr Jefri and team!,,,1Positive#Staff#Treatment
175,Doctor gives very good advice,,,1Positive#Staff
176,Best for travelers if need consultation and medicine before traveling. Location near KL Sentral. The services is also best.,,,1Positive#Staff#Treatment
177,Charges are on the high side and not very caring doctor. Too many staff employed just giggling away,,,1Negative#Staff
178,"The doctor was helpful and explain what’s wrong in my body, so far so good.",,,1Positive#Staff
179,Very very disappointing front desk staff. They don't know how to behave with patient. Really irrespective way behavior.,,,1Negative#Staff
180,"Went there to get better, came out worse. Paid 80Rm for 2 min consultation with an attitude problem monkey",,,1Negative#Staff#Treatment
181,Doctor not good... charging excessively...,,,1Negative#Staff
182,The female doctor is straight up condescending.,,,1Negative#Staff
183,The doc mistreated chicken pox as allergy,,,1Negative#Staff#Treatment
184,Not recommended! No empathy at all.,,,1Negative#Staff
185,"Do not go this place. Unkind, unpleasant and not professional at all",,,1Negative#Facilities#Staff
186,Awful experience with a lady Dr.,,,1Negative#Staff
187,worst clinic. not recommended,,,1Negative#Treatment
188,Service very bad,,,1Negative#Treatment
189,"Here, I give 2 stars, because staffs at the front desk (women staffs) are very unfriendly and when I entered all views I kind of want to swallow I kind of never see people enter the clinic, just because I dyed my hair, …",,,1Negative#Staff
190,"Overall, i am very happy with the service when I came for treating my long term sinus problem. The nurses & Dr Khor attended to me well & explained in details based on his findings.
The charge was pricey compare to other clinics but worth it as long as the treatment & medication is good!",,,1Positive#Staff#Treatment
191,Never and ever listen to him if he asked you to go for operation to cure sinus. Or telling you that your nose is misaligned and need to fix it. Don't let him poke ur nostril as well!! I don't even want to give 1star for the rating. Not even 1. He doesn't deserved it.,,,1Negative#Treatment
192,"I would definitely won't recommend this doc. I am regret for not follow what others review, I taught of giving him a chance. Exactly true for all the bad review written. Doctor are rude, talk nonsence and never listen to patience. Same ask to open my window and ask did I sleep on floor another nonesence question my curtain is new he keep blaming that the cause of my sickness is due to the curtain not been washes. Charge expensively but still using the old type of 80/90an TV. Total consultation less than 5minutes n charge more than Rm400++.  100% x 100 not recommend this unprofessional doctor.",,,1Negative#Staff#Treatment
193,"I believed all the reviews written here! Every problem also related to nose problem...throat,  ear infection also due to nose....
It very pricey!Doctor was telling exactly what's the reviews here, I guess he talked to all patients same words and stories.",,,1Negative#Staff#Treatment
194,Terrible experience. Nonsense consultation doesn’t make sense. And doesn’t listen to customers pain point. Is like you go to a clinic to tell them you having fever but they give you cough medicine and say your fever is due to your cough. Will give you all sorts of medicines and charge your bill high.,,,1Negative#Treatment
195,"Please don't go here , go to klinik kerajaan better  the doctor here is very rude and his consults is very nonsense, nothing to do with my ear condition. he also told me to open all the windows in my house like... what's not clicking??? and the charges also very high rm300++ for only listening to his nonsense advice. he told me i have sore throats and runny nose but I DON'T. very rude... dislike dislike dislike",,,1Negative#Staff#Treatment
196,He's not fit to be a  DR.. just thinking how he can make money from the patient. Never let the patient ask questions he just keep on talking and wants the patient to go for a operation..  Would only entertain if you have a medical card. When you say that you don't have a medical card he stops and would just tell the patient carry on with the medicine. Please don't go to this clinic for your checkup.. Not recomended. Way too expensive it's a day light robbery at this clinic.,,,1Negative#Staff#Treatment
197,"Any of you all facing ent problem please don't go there ever my worst experience I had throat tingling but the dr check my nose put scope say you got nose problem charge me RM 474 just few minutes only consultant with the Doc he will say to you clean you house clean you room don't lay down on floor it's not related at all, just for sharing before you want go there please review here and prepare you money RM 500 think wisely before coming here thanks.",,,1Negative#Staff#Treatment
198,Don’t ever go to see this doctor so unprofessional and very rude! Without doing anything charge $$500+++ ! He is not a qualified doctor just want to earn money,,,1Negative#Staff
199,"very poor doctor, just want to earn more money to ask all patients to having operation, first visited asked to do CT scan, after result came out, said must go operation, pursue me to go operation, then after operation never improved my condition, then he said my brain thinking too much, like depressions.......after done operation must go back clinic to do nose cleaning, visited him few times we noticed that almost all patients asks to go operation  then i never go there anymore.",,,1Negative#Staff#Treatment
200,This  doctor is stupid. A very horrible experience. Expensive and dont know what is hes job.,,,1Negative#Staff#Treatment
201,"My kid having sinus problem for quite some times . This time trying to visit specialist and see whether can treat this problem.
However, doctor really impolite. He never explain the patient's problem, and direct giving suggestion like : open your house windows, don't sleep on floor etc. I'm appreciated he remind me about the common sense that I didn't practice well. However, what's the main problem that cause my kid sick and bleeding? He even didn't let me see my kid nose condition until I ask more questions.
His practice rude, can't give children and parents comfort. He don't like to listen and explain, as a patient, we have our rights to know what's going on, what treatment will doctor give us, he will not tell,only let you know to finish medicines. That's it .
I'm shocking when take the medicine, three types medicine, double for each, all together six bottle for kid.  The kid no fever, no sore throat, only sinus and ear infection trouble,and still active. The quantity of medicine is double up if compare with the hospital gave my kid when she is admit to hospital due to sinus and fever.
Yes, i feel not confident at all to the doctor. I'll not pay a visit again. It's a shame for a professional practice. We pay professional fees but can't get professional consultation. Maybe I'm wrong, but I feel I've been cheated.",,,1Negative#Staff#Treatment
202,Doctor very rude cannot tahan paid 700 and consult nothing,,,1Negative#Staff#Treatment
203,"I moved in around 10 minutes change me RM424 , Doctor is very rude , i suggest you want to see this Doctor perpare your money frist , RM424 fly",,,1Negative#Staff#Treatment
204,"When to see doctor,  end up being power played.  He totally ignore me,  never had he ask me why i m there to see him",,,1Negative#Staff
205,"Not that polite. Talk nonsense a lot.
Last visit due to my daughter 's sensitive nose problem. Guess what he said? Asked me to move away from kl!! Air pollution effects the nose.",,,1Negative#Staff
206,Suck out ear wax of my 10 years old son...RM500 on bill. Rude doctor!,,,1Negative#Staff#Treatment
207,"Dr Khor- Jalan Pudu- will only wants you to listen what he saying to you..cause he no time to listen to patient’s problems then he will start his story..ask ypu to open all windows day and night...will ask you to use aircond while the windows are open he also will say don’t sleep on the floor..seams dr khor is the only one sleeping on the bed...and more stories all these he will tell even after the patient said can’t hear cause ear problem.
He will behave like we go there for free treatment... the charges also very expensive.....very bad experience with dr. Khor jln Pudu very stupid dr.",,,1Negative#Staff#Treatment
208,very unprincipled ent doctor. acted defensive when i asked questions (just asking cause I was worried not questioning authority) or had mny concerns. definitely avoid,,,1Negative#Staff
209,"Doctor is unwilling to listen to you, not gentle, rude and he charge expensively.",,,1Negative#Staff
210,"LIaR.
Talk nonsense persuade 100% healthy person do operation.keep asking your medical card details.Luckily double check with other specialist.STINK reputation Khor Ear Nose & Throat Specialist Clinic.
Hope more victims voice out!",,,1Negative#Staff
211,"Helpful Dr, healed my long term sinus.",,,1Positive#Staff
212,"Totally unprofessional doctor. Went myself as I have tonsil stones, without even looking at it, he said its due to my sinus. Told me room dusty, open windows and all.
Wife went there as well for tonsil stones also, without even looking at her tonsils, he said its sinus issue again. Never even looked at the throat. He straight away passed a form to refer my wife to Tung Shin for CT scan, and claimed that there is a more serious issue than it looks.
This doctor is UNPROFESSIONAL. Never attend to the issues that we are facing, first thing is always sinus issue. And will force a scan through followed by surgery.",,,1Negative#Staff#Treatment
213,"Please don’t see this doctor..
Unethical and unprofessional
ENT specialist Clinic at Jalan Pudu
29/9/2017 around 3pm
Brought my grandad to see him..
My grandad had hearing loss, tinnitus, dizziness, and hearing voices for about two years.. He has been seen by a GP who found that one of his ear drum was perforated.. Thus, we thought of bringing him to see a specialist for confirmation as well as further management..
After hearing my grandad’s symptoms, he didn’t bother to ask further in history taking, and straight away gave us a conclusion that my grandad’s problem was because of inflammation inside his nose..
This doctor did an endoscopy if his nose, and said that there was blockage of his nose by mucus and his nasal mucosa was inflamed.. To be honest, it looked normal to me (I had medical degree background)..
Fine.. what he did next what totally shocking.. He asked if my grandad is taking any blood thinning medications(was being asked twice, 1st time by his nurse during registration, and then by him during consultation)..
We told him “no”. He said “good”, then he used a forceps to scrape the normal looking nasal mucosa TWICE, until the bony part was seen, without telling us what was his reason of doing that.. (At that time, I just feel slightly weird as it is not a usual practice, but when I think back now, I think he was inducing the inflammation of nasal mucosa by injuring it!!!!, so that there will be nose inflammation!)
After that, he did a scope on his ears.. He showed us the normal side, nothing wrong.. eardrum is not perforated.. While showing another side, when there is a perforation clearly seen, he quickly remove the scope without showing us clearly (afraid of we might see the perforation?)
And he said “both ears are normal!! No perforation..”
???? Even a GP and a fresh medical graduate saw the perforation, how can a specialist miss that?
Followed by giving some common advices as what mentioned by other people here like “open all windows, don’t sleep on the floor 
The whole consultation lasted for less than 10 mins.. When I enquire the eardrum perforation, he said, “Didn’t you see I did the scope just now? No perforation right? ”
After that he became impatient and wanted to end the consultation quickly..
While going out of the consultation room, his nurse whispered to me that, “this doctor gave the same advices to all the patients”, I guess she was actually implying something to me..
At the end, we were charged RM428 for that.. RM 150 consultation fee, RM180 endoscopy, RM98 medications (antibiotics, anti inflammatory, nose drop, steroid cream)
When I think back now, this doctor just care about money instead of having the heart to treat patient.. Was actually keeping in mind that private clinic will have high charges but as long as the treatment is effective, we don’t mind paying that amount.. but not in this case..
Feel like cheated and disappointed with this kind of doctor who is totally a bad example that ruin this noble profession..
**Some people might ask why didn’t I ask the doctor on the spot.. To be honest, at that moment, I still lay my trust on him because of his specialist title and I’m just a fresh medical graduate..",,,1Negative#Staff#Treatment
214,Doctor is very rude and not willing to listen,,,1Negative#Staff
215,Very nice and experience doctor,,,1Positive#Staff
216,Too expensive. The consultation was not good. Regret it.,,,1Negative#Treatment
217,Terrible doctor!no recommend!,,,1Negative#Staff
218,"Please don't come to this room
This doctor is rude and doesn't even give a chance to ask questions
There is already a problem with the eardrum, and even the hearing problem. He will blame the sleeping environment for his death. He can't lie on the floor or on the sofa when he talks about it.
Don't call yourself a doctor, please fix your eccentricities
It really is a waste of money to spend so much. 700 yuan in less than 2 minutes
So everyone, please don't come here, you must get in the car
He's like a scam group at all. It's really unscrupulous to come out and cheat money when he's old.
",,,1Negative#Staff#Treatment
219,"The charges are expensive. If you can go to other places to see, the doctor will say to do surgery to earn your insurance money, obviously it is not very serious. The nurse is more like a doctor, for example, how to spray medicine and cannot eat anything, the doctor will not say anything. He just watched! It’s just a patient. If you don’t ask the patient, you can only ask the nurse.
Several nurses said differently~ For example, medication, what can’t be eaten, I really don’t know who to listen to~
I don’t recommend anyone to come to see if someone is serious. I found that every patient who came to the doctor said that your nose is crooked and you need to have an operation.
",,,1Negative#Staff#Treatment
220,"I would like to advise everyone here. Don't look for this room. Don't look at this room. DR KHOR !!! Rude, rude, unethical
It ’s not that you can’t afford to see a specialist, you don’t ask the patient at all, he just tells you that your nose is inflamed, you have to open the window for 24 hours, don’t sleep on the floor, and don’t put furry things in the room. The sentence is superficial !!!!!!!! The fee is too expensive for the doctor's visit in less than ten minutes. RM546 !!!!! Unscrupulous doctor, who only looks at money and medical ethics ..... Answer · Retire early and don't lie
",,,1Negative#Staff#Treatment
221,"I don’t want to give a star, I regret not having finished reading your comments. My son tinnitus went to see this doctor. After entering the door, the son directly said that my child was caused by the nose, and what was the same as what you said. Very poor and extremely expensive.
",,,1Negative#Staff#Treatment
222,"I advise you not to come here! Otherwise you will regret it! Your doctor is not polite!
",,,1Negative#Staff
223,"Not recommended everyone to come to this
Rude by violence means
The price of the specialist is expected to be expensive, and I can accept it.
But the service was so bad.
Paying for hard work is the most appropriate description.
Upon entering the clinic, the nurse directly asked if he had come and explained the price list, and then stated that even if he did not get medicine, the medical fee would be RM350.
DR KHOR was casual when he diagnosed.
Poor attitude, very bad, impolite, impatient and rude during inspections.
When he said he wanted to suck my nose, just press me !!
It doesn't matter if I'm in pain or not, just insert the whole tube into my nose!
At least you give me a heart ready to take it slowly !!
Asked why it may cause ear obstruction and nose pus, DR KHOR has always said that you can’t sleep on an ordinary bed, but only on a wooden bed. You can’t have all the dolls.
Then let me go out and wait for medicine
Gave a lot of medicine, antibiotics gave two and other medicines
That's it, just RM481
After less than 10 minutes before and after RM481, DR KHOR ended my diagnosis in a hurry.
",,,1Negative#Staff#Treatment
224,"It feels like a messy diagnosis. I know my ears are inflamed. He said that all the noses are strange and that my nose is very serious.
My nose was okay, and gave me a bunch of nose medicine and panadol
Still rudely inserted the nose and throat of the instrument, but it did not open the potion of my ear
This way Rm 442
consultation Rm 150
",,,1Negative#Staff#Treatment
225,"My ears are buzzing all the time, so-called tinnitus. The doctor checked that my nose was inflamed and needed an operation. Before the operation, I asked the doctor if it was okay after the operation. The doctor also said that you were okay After the operation, the buzzer kept buzzing and the problem could not be solved. Then I asked the doctor. The doctor answered that tinnitus would not be good. I was very angry at that time, I felt this doctor was irresponsible and felt cheated. I I think this doctor wants money from beginning to end!
",,,1Negative#Staff#Treatment
226,"Very nice, fast service, very good medical service.
",,,1Positive#Treatment
227,Bad Service. Terrible. Book an appointment on doctoro ncall at 1.30pm purposely so i dont have to wait long. Showed up 15 mins before and nurse asked me to return at 2.30pm because doctors were out for lunch??! whats the point of making an appointment? plus there were several patients waiting to be treated at that time. are they waiting for 2.30pm too? ridiculous. NOT RECOMMENDED AT ALL.,,,1Negative#Appointments
228,"If given a choice, I would would not give any star. Service is really poor and slow. Nurses were busy talking rather than doing the work and this caused that is the delay. Waited almost 50 minutes to get a referral letter from the clinic. There were only 2 patients when I went to the clinic and 2 doctors were on duty. Can you imagine how efficient they are?",,,1Negative#Appointments#Staff
229,Worst clinic ever. I would never recommend to anyone. The waiting time is horrible even though less patients. To call another patient in took about 15 minutes gap and getting medication takes times. Which I have never encountered in any other clinics before,,,1Negative#Appointments
230,24 hours but the doctor available at 8.45. better not to claim it 24hours. Hard to find a parking,,,1Negative#Appointments#Facilities
231,"Came here to check my lump on breast...
The old Indian doctor just right away tell me come hospital do mamogram. I repeat 3 times Ultrasound??? He surely does not know mammography is only for women older than 30.. i am just 27.
Okay sure and they told me pay it with cash also cuz my insurance will not cover...
Oh yeah.. because they think I want to do it for investigation , normally ultrasound will be covered because it is for my age, not mamogram.
How could a doctor be so careless.",,,1Negative#Staff#Treatment
232,Good clinic even for foreigners but they will give medication for everything you say at a cost. Doctors and staff can communicate in English,,,1Positive#Staff#Treatment
233,"I would give negative rating if available. Worst doctors and service. we went to the clinic for a wound treatment for my mother, the nurse  was literally poking the wound with scissors to clean it. The doctor gave an injection on the hand and it got swollen for about 2cm the next day. We had to go for another clinic to treat the new swelling because of these unprofessionals  (the doctor at the other clinic was surprised seeing the negligence in the way,  as basic as an injection was given. Please avoid visiting this clinic at any cost.",,,1Negative#Staff#Treatment
234,Please avoid this clinic. The doctor only focus on mc. (wahai mc seeker... This is your clinic). They dont really care about your current illness. Wasting time wasting money. The doctor just check your BP only for your sore throat?? .,,,1Negative#Staff#Treatment
235,Highly convenient nearby clinic that actually opens 24 hours. Has comfortable benches and surprisingly big for a clinic too.,,,1Positive#Facilities
236,"WASTING MONEY!!!  FAKE DOCTOR!! DR. LEE
If  possible i will give - 5star. I saw the doctor twice. And both sessions was just wasting my time.  The doctor was not care about my explain about my health condition meanwhile he keep asking me nonsense question.   He asked me to quit my job n be a nurse there.  Ask about my personal life which is not related at all with my current condition healthy.
He even doesn't pay attention when i told him about my health problems.  and directly proceed for mc.  Even offer me how long i want to take a leave. How easy his job as a doctor.  No wonder he could offer anyone to work with them.  Even without proper cert.",,,1Negative#Staff#Treatment
237,Service really poor. Nurse keep talking among themselves. Not coming here again for sure! Not recommended!,,,1Negative#Staff
238,highly not recommended... service is very poor. Rude nurses,,,1Negative#Staff
239,"hi
i got two times experiences with Dr.Priya Muruhaya and both experiences are disappointed, the doctor wearing impolite blouses then we can see her cleavage barely, and when i told her my sickness the doctor wont listen, she is so careless with patient and she gave tons of medicine even i just got fever, and after i drunk all of her meds its just made my body 1000 times more worst then before. now i'm not feeling secure anymore to come to your clinic.
thank you",,,1Negative#Staff#Treatment
240,Rude nurse. Seriously rude! read previous customer review. Its the truth no kidding. Talking to customers like we are beggars come there for free treatment. I would never come to this clinic ever even though it's like 300m from my house.,,,1Negative#Staff
241,Brought my dependent for scheduled booster dose. Told me doctor not in and come another day. Such service !,,,1Negative#Appointments
242,"3rd class service. I prefer to give negative star if option available. Worst experience with doctors as well as with staff. Untrained staff don't know medicine dosage and timing. When request for Gurantee letter, they can give you that to any hospital without asking your preference and to any province. I will suggest you not to go to this clinic.",,,1Negative#Staff#Treatment
243,Staff very rude 2 staff india at night time..service very bad..must change this 2 staff ..very rude,,,1Negative#Staff
244,Dr Lee was very friendly Dr ..... And consultation was good,,,1Positive#Staff#Treatment
245,"Excellence staff with an 'airlines cabin crew-like' hospitality at registration counter. Impressive. Doctor is very good, always smiling while talking. Cost: a bit up l..with ..a lot medicine. Overall: Recommended and i will repeat.",,,1Positive#Staff
246,"This clinic is just to fool people and make money. Even for a simple headache, they give tons of medicines costing 100+ ringgit. Even if you argue with them, the staff won't listen to you.",,,1Negative#Staff#Treatment
247,Went to clinic as my toddler was unwell at midnight. Did not even get a chance to see doc as receptionist did not allow us to register without birth cert. It was an emergency an all she cared about was a paper. I'd rate them negative 5 if I could.,,,1Negative#Staff#Treatment
248,Waited about 30 minutes but no one patient before me...consultation and medicine is quite expensive compared to other nearest clinic....This is my last time to check with this clinic.,,,1Negative#Appointments#Treatment
249,Waited one hour for consultation in agony but the doctor wasn’t around. Disappointed with the service.,,,1Negative#Appointments#Treatment
250,"its 3rd day, still waiting for my blood test report.
not worth going there unless you are dying and there is no other clinic around.",,,1Negative#Appointments#Treatment
251,Nurse rude ! Doctor pun rude!,,,1Negative#Staff
252,Their focus is more on whether to give MC or not rather than patient’s problem.,,,1Negative#Treatment
253,Really disappointed with the service. The worst unprofessional and rude Indian nurse at the reception counter.,,,1Negative#Staff
254,Please do not visit this clinic. The young Chinese doctor had poor attitude,,,1Negative#Staff
255,Poor service!!! Inexperienced doctor.,,,1Negative#Staff
256,"Slow service , not recommended",,,1Negative#Appointments
257,Receptionist is very rude & arrogant.,,,1Negative#Staff
258,"Worst clinic! I wouldn't recommend this clinic to anyone. I regret i didn't read the reviews before made an appointment for medical check up here. I booked this clinic for my premployment medical check up. I reserved my schedule today just for medical check up but when i arrived the staff at the counter informed that the doctor last minute not available. So I asked why you didn't informed me? She just simply replied come back tomorrow. I said I'm not available so can i do some of the check up so that it will save time tomorrow. But she said ""the process lead time is still the same. We will give time off tomorrow"" i said I'm full tomorrow. I came from hometown just for this check up. All the staff just chatting and play phones. The other staff even sit on the table in the reception counter. They supposed work by informing all the patients that made the appointments today! Not play phones. I will banned this clinic and i hv to find other clinics that accept walk in.",,,1Negative#Appointments#Staff
259,"I've come here many times, the Chinese doctor has not changed his behavior. Bad luck, he always consults me every time he comes. Already huddled things other than health. It's a political article, sort of. Worst of …",,,1Negative#Staff
260,"If you can see NEGATIVE 5 STAR. It is recommended not to leave the clinic. We arrived at 8.00am, 8.30am new docs were there. But at 9am call the other person's name first, two people do what counters never do system numbering to? Conclusion: DO NOT GO. ALL UNTRAINED STAFF. Thank you.
",,,1Negative#Appointments#Staff
261,"I like the service of doctors to patients, and I am very comfortable with it,,
",,,1Positive#Staff
262,"Dr. Lee Good
",,,1Positive#Staff
263,Very very bad service. The doctor and staff/reception are very rude. The doctor scolded my husband during the consultation. He said my husband was cheating instead of getting sick. He also claimed that he knew more than the patient. Please go to training to improve your interpersonal and communication skills. Thank you .,,,1Negative#Staff#Treatment
264,"The doctor openly scolded me “bloody fool” for requesting an additional day MC. He also claimed that he knew better than my own body. He prescribed me the “best” medicine but I wasn’t feeling any better. Stay away from this place, you won’t want to deal with this lunatic.",,,1Negative#Staff#Treatment
265,Dr  is the bad doctor in Lourdes Medical Centre. He body shame and try to relate my medical condition. It also try body shame the nurse that assist me. Stupid! As a doctor you advise people politely not body shame. My lipoma he refuse to make removal and wait until it bigger. And try to lie if lose weight the Lipoma can become smaller. But the fact it cannot being small but can be more bigger.,,,1Negative#Staff#Treatment
266,"The nurses are impolite and lack social skills, poor demonstration of professionalism.slow services",,,1Negative#Staff
267,"Dr shiva very nice person.treats patients in a friendly manner.and the staff is also very nice
Thank you",,,1Positive#Staff#Treatment
268,"RUDE!
SLOW!
UNPROFFESIONAL!
WASTE OF TIME!
should name ur medical centre- LOUSY instead of Lourdes",,,1Negative#Appointments#Staff
269,"If this review allows me to rate 0, i would definitely rate them zero.
Doctor was acting extremely unceremoniously. I was trying to seek for doctor's professional advise when I was not well and feeling helpless, but in return of rudeness. WILL NEVER RETURN TO THIS CENTRE ANYMORE!!!",,,1Negative#Staff
270,"Luckily found Lourdes for my MRI scan.  The price is reasonable plus they have done a very detail scanning.  I have my MRI performed 3 times, they wanted to get better image just to confirm my case and I appreciated the effort of such details act.",,,1Positive#Treatment
271,"Private small med centre, but not as expensive as normal privates ones. I love the services and efficiency in gynae ward. Delivered here twice, and all the nurses and doctors are very nice and accommodating. But do expect slow service as doctors takes time for each patient. Best to call for appt",,,1Positive#Staff
272,"The nurses are rude and lack social skills, poor demonstration of professionalism",,,1Negative#Staff
273,Such a bad service! Poor poor poor staff attitude! Worst hospital service ever! Waited too long for Dr to arrive for delivery ! Baby already came out but no Dr.. they ask to wait till Dr come!,,,1Negative#Staff
274,"No star should be given. Such a poor poor poor service. Most of the nurse looks like we owe them thousand pounds.. except Malay nurses. Waiting for doctor is like ages. Only one Dr attending many patients, meaning we have to wait turn to see you.  what is this? In that case we can go government hospital .. we are here at private hospital due to your effectivity .. charge us like private but service worser than goverment hospital .. even goverment is much more better. make me feel regret to come over here. If you want to cut cost don't be private hospital .. your service is not costomer focus. *No cleanliness",,,1Negative#Appointments#Facilities#Staff
275,"My experience to this hospital is superb, affordable and friendly nurses and doctor. i recommend this to my fellow filipino out there. My wife and my baby is safe and happy. Thank you lourdes hospital sentul for taking care of my baby and my wife. I will definetely come back again here. To Doctor Siva and all nurses...thanks..  More power...",,,1Positive#Staff#Treatment
276,"Did xray medical checkup for my current employer. After 3 months, Due to circumstances, get new job. I request the report as I need to send to my new employer. They did not want to give the report. Stingy AF. Should be able to give because I chnge company. Now im exposed to excessive radiation",,,1Negative#Staff
277,Staff nurse is very good service . There is a doctor named.  Do not know.  Very rude the way he talked to customers was very disappointed,,,1Positive#Staff
278,Suck service plus expensive ... The nurse said I 7 o'clock finish work but because of you can't hold pain so I have to late finish work ... What the hell was like ... Is just like when you giving a birth and the doctor keep say faster birth this is my time to back home ... The hell ... There's one point I couldn't understand ... Why the hell you need to measure the wound for ? For count the medical fee ? I asked what's that for and the doctor just said no lthis is what we have to do ... and asked me have you take enough money for the medical fee ... What the hell ... I have money to pay on it alright ... Suck suck suck ... Paid such an expensive price and get such a suck service,,,1Negative#Staff
279,"bad service .. no patient, still need waiting long time...bad experience",,,1Negative#Staff
280,"Poor customer service. One of the doctors was rude to me.  I will write a formal complaint.
",,,1Negative#Appointments
281,"Very bad service, the nurse and midwife dont know where to find veins for drips and very negative manners.Not happy at all.",,,1Negative#Staff#Treatment
282,Service was okay...Good consultation from doctor..Reasonable and affordable..operating 24hrs although in this pandemic situation,,,1Positive#Treatment
283,"If you want your health and well-being to be totally disregarded and for it to be solely your fault for not taking care of yourself, please visit this medical institution. Doctor was unapologetically rude and was not taking my health into consideration at all",,,1Negative#Staff#Treatment
284,"I had try call to make appointment with the specialist doctor about a week ago and the nurse said will call me back for arrangement somehow didn't call, i have to call back and their colleague didn't know about the record so wait for the nurse who spoke to me call back... really sucks and not systematic ",,,1Negative#Appointments
285,Very poor service by staff. I spent hours waiting to be attended. Very inefficient staff and system. Doctors are good,,,1Negative#Appointments#Staff
286,Don't go here for XRay services. You get overcharged for simple knee and spinal Xray. I head to Ho Xray Specialist - 50% cheaper. Bad customer service.,,,1Negative#Facilities
287,the staff is so impolite and not very helpful.. when i call to ask for pregnancy scan she slam the phone and answer half heartedly. when there and they are so rude,,,1Negative#Staff
288,Staffs at the reception are so impolite. The staff and the doctor who did the medical check up were good though.,,,1Negative#Appointments
289,Really not sure why it always takes half an hour just to print a receipt here,,,1Negative#Appointments
290,Minor Arm dislocation will charge you around 2.5k. Slow service,,,1Negative#Appointments#Treatment
291,Don’t even check me everything..  nagging she know.. Dr. Tan May Ngoh (33287),,,1Negative#Treatment
292,"Such a louzy service.
Management are super slow!!
90% services are outsourced , but never revealed to patient.",,,1Negative#Staff
293,The best ob i ever had Doc.Siva,,,1Positive#Staff
294,Slow service. Taking my time too much,,,1Negative#Appointments
295,Friendly service,,,1Positive#Staff
296,"Don't come here, doctor and staff, all rude, good, Malay, same, all staff, don't talk about other people.
",,,1Negative#Staff
